Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
David Tyree,322.0,NYG,23,WR,16,3,1,-9,0,0,-9.0,-9.0,-0.6,0,2003
David Williams,176.0,JAX,24,RB,6,0,8,36,0,3,15.0,4.5,6.0,0,2018
David Wilson,77.0,NYG,22,RB,21,6,115,504,5,27,35.0,4.15,25.8,3,2013
Dawson Knox,310.0,BUF,23,TE,15,11,1,9,0,1,9.0,9.0,0.6,0,2019
De'Angelo Henderson,215.0,NYJ,26,RB,8,0,9,32,0,2,9.0,5.7,4.45,1,2018
De'Anthony Thomas,212.0,KAN,24,RB,50,6,28,180,2,7,16.5,5.8,3.88,3,2017
DeAndre Washington,73.0,OAK,26,RB,55,5,282,1122,7,60,22.5,3.88,19.82,4,2019
DeAngelo Williams,28.0,CAR,26,RB,58,31,754,3850,30,177,63.0,4.95,65.97,5,2009
DeMarco Murray,18.0,DAL,26,RB,53,47,934,4526,28,235,58.25,4.88,82.67,12,2014
DeSean Jackson,149.0,PHI,25,WR,60,59,51,378,3,18,34.25,7.62,6.3,12,2011
DeShaun Foster,43.67,CAR,25,RB,33,10,377,1563,4,74,54.0,4.13,51.0,5,2005
DeShawn Wynn,144.33,GNB,26,RB,16,4,64,332,5,12,41.0,7.03,18.6,1,2009
DeShone Kizer,130.5,GNB,22,QB,18,15,82,458,5,35,16.0,6.6,20.45,10,2018
DeVier Posey,304.0,HOU,22,WR,11,0,1,-3,0,0,-3.0,-3.0,-0.3,0,2012
Dede Westbrook,181.5,JAX,26,WR,31,20,14,125,0,5,25.5,8.15,3.95,4,2019
Dee Brown,46.0,CAR,24,RB,14,3,102,360,4,20,24.0,3.5,25.7,4,2002
DeeJay Dallas,109.67,SEA,24,RB,44,2,102,432,4,28,18.33,4.23,9.83,2,2022
Deebo Samuel,123.75,SFO,26,WR,51,43,123,782,14,39,35.25,6.6,13.72,9,2022
Deion Branch,253.5,NWE,24,WR,28,19,3,11,0,2,7.5,5.5,0.35,1,2003
Deji Karim,101.33,HOU,27,RB,30,0,110,341,0,21,14.33,3.67,10.87,5,2013
Delanie Walker,247.0,SFO,25,FB,31,10,5,21,0,1,6.5,2.4,0.6,4,2009
Delone Carter,78.5,IND,25,RB,26,3,133,499,5,29,31.0,3.75,17.9,4,2012
Deltha O'Neal,308.0,DEN,26,RCB,13,6,1,0,0,0,0.0,0.0,0.0,2,2003
Demarcus Ayers,235.0,PIT,22,WR,2,1,2,-12,0,0,0.0,-6.0,-6.0,0,2016
Demaryius Thomas,286.0,DEN,24,WR,21,7,3,6,0,0,3.0,2.75,0.3,3,2011
Denard Robinson,76.5,JAX,26,WR,55,13,263,1058,5,42,26.25,3.77,20.12,8,2016
Denarius Moore,258.67,OAK,26,WR,38,27,7,57,1,3,7.0,2.73,1.5,5,2014
Dennis Dixon,212.33,PIT,25,QB,4,3,10,56,1,4,14.67,4.63,13.33,2,2010
Dennis Northcutt,168.5,CLE,26,WR,54,21,32,246,1,10,21.0,8.07,4.53,8,2003
Deon Anderson,220.0,DAL,25,FB,14,5,2,3,0,0,3.0,1.5,0.2,0,2008
Deon Butler,232.0,SEA,24,WR,13,8,2,6,0,0,4.0,3.0,0.5,0,2010
Derek Anderson,127.33,CLE,25,QB,31,27,61,172,3,20,19.67,5.4,6.43,16,2008
Derek Carr,107.25,OAK,26,QB,62,62,124,366,0,30,27.5,3.03,5.88,33,2017
Derek Stanley,306.0,STL,23,WR,13,0,2,5,0,0,2.5,2.5,0.85,3,2008
Derek Watt,211.75,LAC,27,RB,64,13,19,49,1,11,7.5,2.55,0.78,0,2019
Derrick Blaylock,92.67,KAN,25,RB,40,5,156,723,10,44,21.67,4.73,19.3,1,2004
Derrick Henry,25.33,TEN,24,RB,47,16,501,2293,22,119,65.33,4.53,48.47,2,2018
Derrick Ward,66.0,NYG,27,RB,22,5,160,725,3,35,28.0,4.15,42.05,2,2007
Derrick Williams,311.0,DET,23,WR,11,0,1,4,0,0,4.0,4.0,0.4,2,2009
Derrius Guice,89.0,WAS,22,RB,5,1,42,245,2,9,60.0,5.8,49.0,0,2019
Deshaun Watson,66.25,HOU,25,QB,54,53,307,1677,17,111,32.25,5.75,32.02,30,2020
Deuce McAllister,36.0,NOR,26,RB,61,49,961,4194,31,195,65.75,4.67,69.38,16,2004
Devante Mays,211.0,GNB,23,RB,8,0,4,1,0,0,2.0,0.3,0.1,2,2017
Devery Henderson,253.33,NOR,25,WR,44,19,5,43,1,3,11.67,8.67,1.0,0,2007
Devin Duvernay,198.0,BAL,25,WR,46,23,23,204,1,14,26.33,10.53,4.5,2,2022
Devin Hester,178.33,CHI,27,WR,44,20,19,50,0,4,10.67,2.87,1.13,15,2009
Devin Singletary,25.75,BUF,25,RB,61,56,672,3151,16,175,42.0,4.67,52.48,13,2022
Devin Thomas,228.0,WAS,23,WR,30,11,6,51,1,2,15.5,8.5,1.6,0,2009
Devonta Freeman,26.25,ATL,25,RB,61,43,753,3248,30,202,47.25,4.25,53.78,9,2017
Devontae Booker,108.5,DEN,27,RB,61,6,289,1103,6,55,18.75,4.3,18.32,7,2019
Dexter McCluster,123.75,KAN,24,WR,58,23,152,662,1,40,19.0,3.7,10.88,10,2013
Dexter Williams,246.0,GNB,23,RB,7,0,7,19,0,0,5.0,3.1,2.75,0,2020
Dez Bryant,258.75,DAL,25,WR,59,45,5,1,0,0,3.0,0.88,0.03,12,2013
Dez White,249.0,CHI,24,WR,31,25,5,24,0,2,16.5,5.1,0.8,1,2003
Dezmon Briscoe,264.0,WAS,23,WR,7,0,1,1,0,0,1.0,1.0,0.1,0,2012
Dion Lewis,133.5,PHI,22,RB,24,0,36,171,2,11,18.5,4.85,7.25,1,2012
Diontae Johnson,219.5,PIT,26,WR,64,56,19,134,0,5,14.75,7.38,2.1,10,2022
Domanick Williams,15.67,HOU,25,RB,40,36,770,3195,23,144,46.33,4.13,80.5,10,2005
Domenik Hixon,264.0,NYG,24,WR,32,8,3,18,0,2,7.5,2.5,0.55,1,2008
Donald Brown,42.5,IND,25,RB,50,15,449,1840,11,91,48.25,4.05,36.42,1,2012
Donnie Avery,178.0,STL,25,WR,31,28,14,99,1,4,26.0,7.2,3.25,2,2009
Donnie Jones,281.0,MIA,26,P,32,0,2,0,0,0,0.0,0.0,0.0,1,2006
Donnie Nickey,298.0,TEN,26,DB,16,0,1,0,0,0,0.0,0.0,0.0,1,2006
Donovan Peoples-Jones,355.0,CLE,23,WR,17,14,1,2,0,0,2.0,2.0,0.1,1,2022
Dontari Poe,288.0,KAN,25,NT,15,13,1,1,1,1,1.0,1.0,0.1,0,2015
Donte Moncrief,263.5,IND,23,WR,25,9,5,16,0,1,3.0,1.65,0.5,0,2016
Donte' Stallworth,251.5,NOR,25,WR,56,33,11,44,0,1,9.0,2.8,0.72,4,2005
Dorin Dickerson,273.0,BUF,24,TE,11,0,1,-8,0,0,-8.0,-8.0,-0.7,1,2012
Doug Chapman,110.67,MIN,26,RB,26,3,90,317,0,15,17.33,4.23,11.77,2,2003
Doug Gabriel,256.0,OAK,25,WR,30,7,3,12,0,0,4.5,4.25,0.4,2,2005
Doug Martin,20.5,TAM,26,RB,49,49,868,3806,20,174,61.25,4.2,74.85,8,2015
Drew Brees,122.25,SDG,25,QB,43,42,114,317,3,38,17.0,4.5,9.85,16,2004
Drew Carter,230.0,CAR,25,WR,14,2,2,18,0,1,11.0,9.0,1.3,0,2006
Drew Henson,293.0,DAL,24,QB,7,1,1,7,0,1,7.0,7.0,1.0,1,2004
Drew Kaser,299.0,SDG,23,P,16,0,1,0,0,0,0.0,0.0,0.0,1,2016
Drew Lock,131.33,DEN,25,QB,24,21,72,285,5,23,17.0,4.3,11.83,13,2021
Drew Stanton,173.0,DET,26,QB,12,4,30,166,2,11,15.33,5.57,12.17,4,2010
Dri Archer,153.0,PIT,23,WR,12,0,10,40,0,2,15.0,4.0,3.3,0,2014
Duke Johnson,64.5,CLE,25,RB,64,10,299,1286,5,73,25.75,4.42,20.12,8,2018
Durham Smythe,297.0,MIA,26,TE,17,12,2,3,0,2,2.0,1.5,0.2,0,2021
Dustin Colquitt,265.0,KAN,24,P,16,0,1,0,0,0,0.0,0.0,0.0,2,2006
Dustin Keller,290.0,NYJ,25,TE,16,12,1,7,0,0,7.0,7.0,0.4,1,2009
Dwayne Allen,233.0,IND,25,TE,29,28,4,6,0,3,2.0,1.35,0.2,1,2015
Dwayne Bowe,263.0,KAN,26,WR,16,16,1,4,0,0,4.0,4.0,0.3,1,2010
Dwayne Harris,245.0,DAL,27,WR,29,3,5,13,0,0,7.5,3.9,0.45,6,2014
Dwayne Haskins,130.0,WAS,23,QB,16,13,40,147,1,13,21.0,3.7,8.9,12,2020
Dwayne Jarrett,292.0,CAR,21,WR,7,0,1,11,0,1,11.0,11.0,1.6,0,2007
Dwayne Washington,116.25,NOR,25,RB,46,2,145,523,1,21,23.25,4.58,11.62,0,2019
Dwayne Wright,103.0,BUF,24,RB,15,0,29,94,0,6,15.0,3.2,6.3,1,2007
EJ Manuel,132.75,BUF,26,QB,28,17,94,324,4,34,12.75,3.35,10.45,11,2016
Earl Bennett,225.0,CHI,23,WR,14,3,2,9,0,1,5.0,4.5,0.6,1,2010
Early Doucet,235.0,ARI,25,WR,10,5,2,5,0,1,3.0,2.5,0.5,0,2010
Easton Stick,360.0,LAC,25,QB,1,0,1,-2,0,0,-2.0,-2.0,-2.0,0,2020
Eddie Johnson,249.0,MIN,22,P,14,0,2,15,0,1,15.0,7.5,1.1,2,2003
Eddie Lacy,24.25,GNB,26,RB,51,48,788,3435,23,177,41.0,4.47,68.05,8,2016
Eddie Royal,202.75,DEN,25,WR,57,45,25,219,0,11,25.75,7.0,3.8,7,2011
Eddie Williams,257.0,2TM,24,RB,6,0,2,2,0,0,1.0,1.0,0.3,0,2011
Edwin Baker,178.0,NOR,23,RB,6,2,44,173,2,12,11.0,3.0,28.85,0,2014
Eli Manning,121.5,NYG,26,QB,57,55,89,205,2,22,14.0,2.95,3.62,34,2007
Elijah McGuire,52.0,NYJ,24,RB,24,5,180,591,4,29,51.5,3.3,27.1,4,2018
Emmanuel Sanders,302.0,PIT,26,WR,32,17,2,29,0,1,14.5,14.5,0.95,4,2013
Eno Benjamin,88.5,3TM,23,RB,24,3,111,431,3,18,33.0,3.8,17.0,0,2022
Equanimeous St. Brown,316.67,GNB,25,WR,37,10,5,26,0,3,8.33,5.57,0.7,0,2021
Eric Decker,274.0,DEN,24,WR,16,13,1,1,0,0,1.0,1.0,0.1,1,2011
Eric Ebron,278.0,DET,23,TE,13,13,1,1,1,1,1.0,1.0,0.1,0,2016
Eric Shelton,157.0,CAR,23,RB,9,0,8,23,0,1,9.0,2.9,2.6,0,2006
Evan Engram,234.0,NYG,26,TE,50,39,13,83,1,5,10.5,8.15,1.67,1,2020
Evan Royster,152.0,WAS,26,RB,32,2,81,416,2,25,13.33,3.23,20.07,0,2013
Ezekiel Elliott,3.5,DAL,24,RB,56,56,1169,5405,40,314,41.0,4.6,96.85,15,2019
Felix Jones,50.25,DAL,24,RB,48,16,458,2326,8,107,47.5,5.9,47.77,10,2011
Frank Gore,18.25,SFO,25,RB,59,46,939,4441,22,180,57.0,4.67,74.2,18,2008
Frank Moreau,104.5,JAX,25,RB,14,1,75,206,5,20,18.0,3.05,12.65,3,2001
Fred Davis,268.0,WAS,22,TE,11,2,1,-3,0,0,-3.0,-3.0,-0.3,0,2008
Freddie Mitchell,233.0,PHI,23,WR,15,1,2,-4,0,0,12.0,-2.0,-0.3,0,2001
Freddie Swain,224.0,SEA,23,WR,17,8,5,32,0,2,11.0,6.4,1.9,1,2021
Gabriel Davis,311.0,BUF,21,WR,16,11,1,0,0,0,0.0,0.0,0.0,1,2020
Gardner Minshew II,140.0,PHI,26,QB,32,24,112,521,2,33,12.25,3.27,11.88,22,2022
Garrett Wolfe,138.0,CHI,26,RB,50,0,72,282,1,14,26.5,3.7,6.83,1,2010
Gartrell Johnson,152.5,ATL,24,RB,19,0,23,79,0,5,17.0,3.45,4.15,1,2010
Geno Smith,160.5,NYJ,26,QB,33,30,135,647,7,44,21.5,7.65,19.6,17,2016
George Kittle,259.0,SFO,27,TE,38,38,8,49,0,3,12.33,7.63,1.43,1,2020
George Layne,294.33,2TM,26,RB,9,0,3,32,0,2,10.67,10.67,3.5,1,2004
Gerald Everett,283.75,LAR,26,TE,61,11,5,31,1,3,6.75,5.75,0.47,2,2020
Giovani Bernard,32.5,CIN,25,RB,55,12,583,2442,14,117,42.25,4.12,43.75,4,2016
Glen Coffee,55.0,SFO,22,RB,14,2,83,226,1,8,17.0,2.7,16.1,0,2009
Golden Tate,225.75,SEA,25,WR,58,33,13,69,0,4,12.5,5.45,1.12,6,2013
Greg Jones,142.83,HOU,32,RB,90,45,264,873,10,57,10.67,2.55,9.97,1,2013
Greg Little,240.0,CLE,23,WR,32,28,5,30,0,3,15.0,6.25,0.9,0,2012
Greg McElroy,167.0,NYJ,24,QB,2,1,8,30,0,3,15.0,3.8,15.0,1,2012
Greg Salas,303.0,NYJ,26,WR,16,2,2,28,1,2,14.0,14.0,1.65,3,2014
Hakeem Nicks,263.0,NYG,21,WR,14,6,2,8,0,0,9.0,4.0,0.6,2,2009
Harrison Bryant,326.0,CLE,24,TE,17,9,1,8,0,1,8.0,8.0,0.5,0,2022
Harry Douglas,218.0,ATL,27,WR,48,8,15,67,1,4,12.0,2.1,1.4,1,2011
Hayden Hurst,302.0,BAL,25,TE,12,0,1,0,0,0,0.0,0.0,0.0,0,2018
Heath Evans,172.0,SEA,26,FB,61,1,33,108,0,8,7.5,3.73,1.75,2,2004
Henry Ruggs III,218.0,LVR,22,WR,20,19,12,65,0,3,9.5,5.35,3.05,2,2021
Hunter Renfrow,256.0,LVR,26,WR,17,9,3,3,0,0,5.0,1.0,0.2,5,2021
Ingle Martin,247.0,GNB,24,QB,1,0,2,-5,0,0,-2.0,-2.5,-5.0,0,2006
Isaiah Ford,291.0,MIA,23,WR,8,0,1,11,0,1,11.0,11.0,1.4,0,2019
Isaiah McKenzie,198.5,BUF,25,WR,50,16,29,128,2,10,12.25,4.4,3.15,8,2020
Isaiah Pead,193.67,STL,26,RB,27,1,19,78,0,4,11.33,3.3,2.4,3,2015
Ito Smith,154.0,DAL,26,RB,36,0,176,693,7,37,18.5,4.15,15.18,2,2021
J.J. Arrington,92.75,ARI,25,RB,58,8,183,654,3,28,20.75,3.42,11.95,2,2008
J.K. Dobbins,44.0,BAL,24,RB,23,9,226,1325,11,64,58.0,5.85,59.35,2,2022
J.P. Losman,138.75,BUF,26,QB,37,31,91,419,1,34,18.0,5.42,10.88,26,2007
J.R. Redmond,125.25,OAK,26,RB,34,5,173,557,1,21,12.5,2.6,18.48,2,2003
J.T. O'Sullivan,263.0,GNB,25,QB,1,0,2,-2,0,0,-1.0,-1.0,-2.0,0,2004
JJ Nelson,234.5,ARI,26,WR,56,15,12,120,1,5,20.0,8.28,1.95,3,2018
JaMarcus Russell,154.0,OAK,24,QB,31,25,40,175,1,20,15.33,3.57,4.4,25,2009
Jabar Gaffney,231.0,HOU,25,WR,48,36,9,56,0,3,11.0,7.93,1.17,1,2005
Jacob Bell,272.0,TEN,26,LG,16,16,1,-15,0,0,-15.0,-15.0,-0.9,1,2007
Jacob Hester,114.25,SDG,26,RB,62,23,94,319,1,30,16.25,3.5,5.1,4,2011
Jacoby Brissett,115.75,IND,27,QB,38,32,142,564,9,40,18.75,3.1,14.35,18,2019
Jacoby Ford,180.67,OAK,26,WR,38,13,19,201,2,8,35.0,8.77,4.9,10,2013
Jacoby Jones,247.5,HOU,26,WR,59,11,9,23,0,3,6.5,1.38,0.42,9,2010
Jacquizz Rodgers,61.5,ATL,24,RB,63,5,305,1116,5,63,23.0,3.67,17.78,3,2014
Jahvid Best,44.5,DET,22,RB,22,15,255,945,6,41,66.5,3.9,49.85,1,2011
Jake Fromm,187.0,NYG,23,QB,3,2,8,65,0,4,27.0,8.1,21.7,2,2021
Jake Locker,127.0,TEN,26,QB,30,23,95,644,5,39,29.25,6.78,20.02,10,2014
Jake Luton,335.0,JAX,24,QB,3,3,1,13,1,1,13.0,13.0,4.3,2,2020
Jakeem Grant,253.0,MIA,27,WR,52,4,9,23,1,1,5.0,2.83,0.47,8,2019
Jalen Hurts,48.33,PHI,24,QB,45,34,367,1898,26,149,32.33,5.27,42.2,27,2022
Jalen Parmele,223.5,BAL,24,RB,8,0,7,44,0,1,19.0,8.45,14.7,0,2009
Jalen Reagor,219.0,MIN,23,WR,45,24,18,83,0,6,16.0,5.33,1.93,8,2022
Jalston Fowler,236.67,TEN,27,RB,42,7,10,20,2,6,3.0,2.3,0.47,0,2017
Jamaal Charles,65.75,KAN,25,RB,49,19,499,3027,12,145,52.5,6.12,57.55,10,2011
Jamaal Williams,39.25,GNB,25,RB,60,20,500,1985,10,109,28.75,3.98,33.2,0,2020
Jamaar Taylor,325.0,NYG,23,WR,8,0,1,-8,0,0,-8.0,-8.0,-1.0,0,2004
Jamal Agnew,244.75,DET,25,WR,46,2,10,68,0,6,10.5,9.0,1.65,7,2020
Jamal Lewis,6.0,BAL,24,RB,48,44,1004,4757,26,213,67.33,4.67,99.1,22,2003
Jamar Martin,211.0,DAL,23,FB,14,1,4,7,0,2,3.0,1.8,0.5,0,2003
Jameel Cook,248.0,TAM,24,FB,30,11,3,1,0,0,0.5,0.0,0.0,0,2003
Jameis Winston,86.0,TAM,24,QB,56,54,189,794,9,59,17.5,4.2,14.88,38,2018
James Allen,34.0,HOU,27,RB,16,5,155,519,0,22,32.0,3.3,32.4,1,2002
James Casey,267.5,HOU,28,FB,30,16,2,17,0,2,8.5,8.5,0.6,0,2012
James Conner,44.0,PIT,25,RB,50,33,532,2302,22,128,34.25,4.33,46.75,7,2020
James Davis,146.0,2TM,24,RB,9,0,28,75,0,0,9.5,2.45,8.05,0,2010
James Jackson,86.5,2TM,28,RB,44,16,321,1071,5,58,24.0,4.45,25.45,5,2004
James Starks,63.75,GNB,27,RB,35,5,322,1427,5,76,29.75,4.22,39.65,4,2013
James Washington,299.0,PIT,25,WR,15,2,2,13,0,0,12.0,6.5,0.9,0,2021
James White,119.75,NWE,25,RB,47,9,113,431,2,18,11.25,3.75,9.82,0,2017
James Williams,318.0,SEA,22,WR,10,0,1,-5,0,0,-5.0,-5.0,-0.5,0,2000
James Wright,251.0,CIN,25,WR,24,2,5,24,0,3,7.5,3.5,1.1,0,2016
Jamie Harper,133.0,TEN,23,RB,23,0,36,74,4,8,12.5,2.1,3.2,1,2012
Jamison Crowder,215.75,WAS,25,WR,56,28,15,64,0,3,11.25,3.1,1.4,12,2018
Jared Goff,118.0,LAR,25,QB,54,54,112,215,6,21,13.0,1.88,3.75,35,2019
Jarious Jackson,248.67,DEN,26,QB,4,1,7,15,0,1,4.0,3.13,5.17,2,2003
Jarius Wright,259.0,MIN,26,WR,39,11,8,111,0,5,21.33,16.23,2.6,1,2015
Jarrad Page,299.0,KAN,22,DB,16,2,1,4,0,1,4.0,4.0,0.3,0,2006
Jarrett Stidham,207.0,LVR,26,QB,13,2,23,89,0,10,5.33,2.0,5.83,3,2022
Jarrod Baxter,204.5,HOU,25,FB,24,11,9,15,0,2,3.5,1.25,0.5,0,2004
Jarvis Landry,219.0,MIA,25,WR,64,57,26,119,1,9,8.0,0.17,1.88,14,2017
Jason Avant,270.0,PHI,24,WR,15,5,1,1,0,0,1.0,1.0,0.1,0,2007
Jason Campbell,88.67,WAS,27,QB,36,36,107,550,2,38,22.33,5.03,15.2,21,2008
Jason Hill,237.0,SFO,23,WR,16,2,2,5,0,1,9.0,2.5,0.3,1,2008
Jason Huntley,186.0,PHI,23,RB,6,0,18,70,0,3,14.0,3.85,27.4,0,2021
Jason Snelling,90.0,ATL,27,RB,51,3,257,1042,7,70,22.75,3.85,19.23,4,2010
Javarris Williams,189.0,KAN,23,RB,4,0,6,6,0,0,5.0,1.0,1.5,0,2009
Javier Arenas,239.0,KAN,24,DB,31,3,4,17,1,2,6.0,4.5,0.55,3,2011
Javin Hunter,277.0,BAL,22,WR,12,3,1,9,0,0,9.0,9.0,0.8,2,2002
Javon Ringer,141.75,TEN,25,RB,37,0,120,486,3,21,30.0,5.2,11.05,1,2012
Javon Walker,289.5,GNB,25,WR,31,5,3,12,0,1,6.0,5.75,0.4,2,2003
Javon Wims,370.0,CHI,26,WR,13,1,1,2,0,0,2.0,2.0,0.2,0,2020
